Sequence_ID	Total_Contigs	Genome_length	Largest_Contig	n50	GC_Percent
curto_D4-2-t2.scaffolds	600	3908653	611082	408877	70
curto_D4-4-t2.final	20	3737154	921916	321440	71
curto_D4-4-t2.scaffolds	199	3785749	921916	321440	70
curto_D4-5-t1.final	13	3736530	921828	408786	71
curto_D4-5-t1.scaffolds	62	3748465	921828	408786	71
curto_D5-1-t1.final	18	3736991	603511	266874	71
curto_D5-1-t1.scaffolds	580	3906846	603511	266874	70
curto_D5-1-t3.final	17	3744015	611110	405770	71
curto_D5-1-t3.scaffolds	205	3793887	611110	405770	70
curto_D5-2-t2.final	11	3736567	921777	416834	71
curto_D5-2-t2.scaffolds	56	3748253	921777	416834	71
curto_D5-3-t3.final	15	3744418	801112	611068	71
curto_D5-3-t3.scaffolds	26	3746467	801112	611068	71
curto_D5-4-t2.final	23	3736424	864929	221547	71
curto_D5-4-t2.scaffolds	683	3926849	864929	221547	70
curto_D5-5-t1.final	14	3736512	712219	408826	71
curto_D5-5-t1.scaffolds	259	3803226	712219	408826	70
curto_G2-1-t1.final	13	3737200	921917	406068	71
curto_G2-1-t1.scaffolds	99	3759486	921917	406068	71
curto_G2-2-t2.final	12	3736896	921916	603520	71
curto_G2-2-t2.scaffolds	87	3755821	921916	603520	70
curto_G2-3-t3.final	14	3738402	1017395	712218	71
curto_G2-3-t3.scaffolds	756	3954354	1017395	712218	70
curto_G2-4-t2.final	13	3737109	921917	409102	71
curto_G2-4-t2.scaffolds	463	3860682	921917	409102	70
curto_G2-5-t1.final	12	3738271	921918	406102	71
curto_G2-5-t1.scaffolds	2809	4553824	921918	395416	69
curto_G3-2-t2.final	26	3744851	712218	227316	71
curto_G3-2-t2.scaffolds	7661	6111692	712218	139662	62
curto_G3-3-t1.final	83	5772657	802790	250917	60
curto_G3-3-t1.scaffolds	6229	8886380	802790	124525	63
curto_G3-3-t3.final	28	4275253	1305834	926490	70
curto_G3-3-t3.scaffolds	3608	5565082	1305834	881680	70
curto_G3-4-t2.final	11	3736554	921916	603732	71
curto_G3-4-t2.scaffolds	1934	4318730	921916	445566	69
curto_G3-6-t1.final	31	4224786	2116401	2116401	67
curto_G3-6-t1.scaffolds	3920	5705193	2116401	909106	67
curto_G4-1-t1.final	28	3929433	1358465	950162	66
curto_G4-1-t1.scaffolds	5355	6367732	1358465	388948	67
curto_G4-10-t1.final	34	3915438	1975972	1975972	66
curto_G4-10-t1.scaffolds	5246	6028511	1975972	618879	67
curto_G4-2-t2.final	11	3736813	921826	445497	71
curto_G4-2-t2.scaffolds	481	3869389	921826	445497	70
curto_G4-2-t3.final	17	3737838	921918	395515	71
curto_G4-2-t3.scaffolds	478	3874401	921918	342929	70
curto_G4-4-t2.final	18	3736117	739343	610897	71
curto_G4-4-t2.scaffolds	1102	4062141	739343	610897	70
curto_G5-1-t1.final	22	3135877	820050	460423	55
curto_G5-1-t1.scaffolds	4097	6411260	820050	355515	58
curto_G5-2-t2.final	53	3990737	614530	155782	70
curto_G5-2-t2.scaffolds	2308	4712297	614530	124260	70
curto_G5-4-t2.final	15	3735942	921779	366672	71
curto_G5-4-t2.scaffolds	411	3847569	921779	366672	70
curto_P1-1-t1.final	13	3737525	921828	408767	71
curto_P1-1-t1.scaffolds	68	3751477	921828	408767	71
curto_P1-2-t2.final	18	3736119	610894	408929	71
curto_P1-2-t2.scaffolds	81	3751686	610894	408929	71
curto_P1-3-t3.final	16	3737034	921915	395163	71
curto_P1-3-t3.scaffolds	777	3957314	921915	395163	70
curto_P1-4-t2.final	12	3736392	921914	610937	71
curto_P1-4-t2.scaffolds	105	3760307	921914	610937	70
curto_P1-5-t1.final	12	3736510	921777	611395	71
curto_P1-5-t1.scaffolds	433	3859955	921777	611395	70
curto_P2-2-t2.final	17	3737062	921915	342929	71
curto_P2-2-t2.scaffolds	45	3743919	921915	342929	71
curto_P2-2-t3.final	24	3736318	712217	342929	71
curto_P2-2-t3.scaffolds	32	3737923	712217	342929	71
curto_P2-4-t2.final	16	3736912	826147	395297	71
curto_P2-4-t2.scaffolds	90	3755537	826147	395297	70
curto_P3-1-t3.final	18	3737103	746852	332229	71
curto_P3-1-t3.scaffolds	671	3928447	746852	332229	70
curto_P3-2-t1.final	68	6065878	574612	291584	60
curto_P3-2-t1.scaffolds	5600	8758007	574612	199383	63
curto_P3-2-t2.final	25	3742050	712218	313699	71
curto_P3-2-t2.scaffolds	2136	10203284	742530	297483	51
curto_P3-2-t3.final	19	3736912	712081	330328	71
curto_P3-2-t3.scaffolds	209	3788270	712081	330328	70
curto_P3-4-t2.final	14	3736871	921916	603346	71
curto_P3-4-t2.scaffolds	70	3750747	921916	603346	70
curto_P3-8-t1.final	18	3737313	921915	343477	71
curto_P3-8-t1.scaffolds	350	3828616	921915	343477	70
curto_P4-1-t1.scaffolds	3576	1291858	5859	354	68
curto_P4-1-t3.final	17	3737420	775209	395560	71
curto_P4-1-t3.scaffolds	27	3739185	775209	395560	71
curto_P4-2-t2.final	30	3735561	366381	243854	71
curto_P4-2-t2.scaffolds	505	3873854	366381	209804	70
curto_P4-2-t3.final	21	3737280	712218	244408	71
curto_P4-2-t3.scaffolds	34	3740460	712218	244408	71
curto_P4-3-t3.final	18	3737203	865018	395113	71
curto_P4-3-t3.scaffolds	1652	4226583	865018	342929	69
curto_P4-4-t2.final	10	3737135	921915	611400	71
curto_P4-4-t2.scaffolds	792	3977520	921915	611400	70
curto_P4-5-t1.final	19	3737181	921915	366665	71
curto_P4-5-t1.scaffolds	299	3815015	921915	366665	70
curto_P5-2-t2.final	16	3736590	921916	366953	71
curto_P5-2-t2.scaffolds	71	3750066	921916	366953	71
curto_P5-2-t3.final	16	3737060	611406	406021	71
curto_P5-2-t3.scaffolds	22	3738218	611406	406021	71
curto_P5-3-t3.final	18	3736745	775190	342929	71
curto_P5-3-t3.scaffolds	40	3742041	775190	342929	71
curto_P5-4-t2.final	15	3736738	712219	603662	71
curto_P5-4-t2.scaffolds	331	3831517	712219	603662	70
curto_P5-5-t1.final	28	3736468	483559	209078	71
curto_P5-5-t1.scaffolds	578	3890553	483559	209078	70
curto_S1-1-t1.final	12	3737120	921915	611143	71
curto_S1-1-t1.scaffolds	3319	4760413	921915	405775	69
curto_S1-1-t3.final	18	3736902	826298	313980	71
curto_S1-1-t3.scaffolds	102	3759333	826298	313980	71
curto_S1-2-t2.final	16	3736669	921916	409075	71
curto_S1-2-t2.scaffolds	2516	4723465	921916	330396	63
curto_S1-2-t3.final	10	3736568	921916	611137	71
curto_S1-2-t3.scaffolds	384	3843096	921916	611137	70
curto_S1-3-t2.final	13	3736997	921915	366706	71
curto_S1-3-t2.scaffolds	1018	4028669	921915	366706	70
curto_S1-3-t3.final	21	3736796	697928	227309	71
curto_S1-3-t3.scaffolds	803	3965265	697928	227309	70
curto_S1-5-t1.final	15	3736780	712219	558422	71
curto_S1-5-t1.scaffolds	299	3818469	712219	405547	70
curto_S2-1-t1.final	12	3737502	921916	603702	71
curto_S2-1-t1.scaffolds	266	3805607	921916	603702	70
curto_S2-1-t2.final	21	3736951	697864	330169	71
curto_S2-1-t2.scaffolds	1417	4148639	697864	321576	69
curto_S2-1-t3.final	17	3740111	921915	611480	71
curto_S2-1-t3.scaffolds	2295	4452227	921915	611480	68
curto_S2-2-t2.final	11	3736267	921914	611146	71
curto_S2-2-t2.scaffolds	59	3748315	921914	611146	71
curto_S2-2-t3.final	31	3737744	367210	189805	71
curto_S2-2-t3.scaffolds	44	3740932	367210	189805	71
curto_S2-3-t3.final	19	3737097	921916	342929	71
curto_S2-3-t3.scaffolds	5064	5702291	921916	196460	59
curto_S2-5-t1.final	18	3736831	697898	586818	71
curto_S2-5-t1.scaffolds	380	3835751	697898	405585	70
curto_S3-1-t1.final	15	3737146	921916	405551	71
curto_S3-1-t1.scaffolds	664	3923378	921916	342929	70
curto_S3-3-t2.final	21	3736105	408656	270431	71
curto_S3-3-t2.scaffolds	394	3839595	408656	270431	70
curto_S3-5-t1.final	11	3736339	826298	611410	71
curto_S3-5-t1.scaffolds	2079	4381546	826298	452335	69
curto_S4-1-t1.final	15	3736697	921916	322148	71
curto_S4-1-t1.scaffolds	113	3761811	921916	322148	70
curto_S4-5-t1.final	13	3736916	921918	445495	71
curto_S4-5-t1.scaffolds	99	3758882	921918	445495	71
curto_S5-1-t1.final	12	3736124	921915	405544	71
curto_S5-1-t1.scaffolds	214	3789907	921915	405544	70
curto_S5-1-t2.final	12	3737222	921914	603527	71
curto_S5-1-t2.scaffolds	379	3845172	921914	603527	70
curto_S5-2-t2.final	15	3736155	712217	603512	71
curto_S5-2-t2.scaffolds	68	3749308	712217	603512	71
curto_S5-3-t2.final	27	3736303	848730	221529	71
curto_S5-3-t2.scaffolds	734	3942283	848730	221529	70
curto_S5-3-t3.scaffolds	3200	1140148	1935	352	69
curto_S5-4-t2.final	16	3736827	589668	332289	71
curto_S5-4-t2.scaffolds	941	4028001	589668	332289	70
curto_S5-5-t1.final	12	3736799	921916	409087	71
curto_S5-5-t1.scaffolds	481	3866525	921916	409087	70
curto_W1-1-t1.final	16	3737377	921914	367157	71
curto_W1-1-t1.scaffolds	268	3807154	921914	367157	70
curto_W1-2-t2.final	16	3736386	921915	366698	71
curto_W1-2-t2.scaffolds	37	3741309	921915	366698	71
curto_W1-4-t2.final	32	3735312	865020	292200	71
curto_W1-4-t2.scaffolds	507	3878733	865020	227265	70
curto_W1-5-t1.final	11	3736849	921916	445465	71
curto_W1-5-t1.scaffolds	102	3760539	921916	445465	70
curto_W2-1-t1.final	15	3737004	921914	408911	71
curto_W2-1-t1.scaffolds	658	3916323	921914	342929	70
curto_W2-2-t2.final	12	3736884	921916	405774	71
curto_W2-2-t2.scaffolds	877	3998076	921916	405774	70
curto_W2-2-t3.final	22	3734949	581634	292608	71
curto_W2-2-t3.scaffolds	935	4023469	581634	220685	70
curto_W2-3-t3.final	17	3736889	589736	342851	71
curto_W2-3-t3.scaffolds	1176	4077040	589736	342851	70
curto_W2-4-t2.final	19	3735835	611140	228233	71
curto_W2-4-t2.scaffolds	70	3748838	611140	228233	71
curto_W2-5-t1.final	16	3737641	921915	330295	71
curto_W2-5-t1.scaffolds	873	3982073	921915	330295	70
curto_W3-1-t1.final	13	3736772	921918	611396	71
curto_W3-1-t1.scaffolds	53	3746751	921918	611396	71
curto_W3-2-t2.final	17	3736767	655296	405541	71
curto_W3-2-t2.scaffolds	1325	4128703	655296	366938	69
curto_W3-2-t3.final	10	3252809	836362	689941	67
curto_W3-2-t3.scaffolds	2222	3974216	836362	689941	67
curto_W3-3-t3.final	21	3203178	721359	453544	67
curto_W3-3-t3.scaffolds	3112	4305085	721359	440286	67
curto_W3-4-t2.final	14	3923980	921915	611391	70
curto_W3-4-t2.scaffolds	1300	4333525	921915	611391	69
curto_W3-5-t1.final	12	3736360	921917	405522	71
curto_W3-5-t1.scaffolds	1879	4293772	921917	405522	69
curto_W4-1-t1.final	16	3737009	826147	395533	71
curto_W4-1-t1.scaffolds	416	3851320	826147	395533	70
curto_W4-2-t2.final	27	3736111	589719	209267	71
curto_W4-2-t2.scaffolds	196	3780963	589719	209267	70
curto_W4-4-t2.final	12	3737020	921779	611685	71
curto_W4-4-t2.scaffolds	880	3998882	921779	611685	70
curto_W4-5-t1.final	38	3736776	436498	177339	71
curto_W4-5-t1.scaffolds	1548	4179151	436498	160849	69
curto_W5-1-t1.final	15	3738210	921916	611405	71
curto_W5-1-t1.scaffolds	2122	4391008	921916	611405	69
curto_W5-2-t2.final	17	3736835	712219	342929	71
curto_W5-2-t2.scaffolds	57	3746627	712219	342929	71
curto_W5-4-t2.final	15	3737155	921915	342929	71
curto_W5-4-t2.scaffolds	183	3782572	921915	342929	70
curto_W5-5-t1.final	13	3736918	921917	445444	71
curto_W5-5-t1.scaffolds	180	3780823	921917	445444	70
