bag	Proteobacteria	Actinobacteria	Bacteroidetes	Acidobacteria	NA.	other
2G03	0.464028777	0.25430976	0.209311796	0.005293878	0.012216642	0.054839148
2G04	0.64469087	0.158970074	0.151222847	0.013139906	0.007823181	0.024153122
2P01	0.604578426	0.185333067	0.164770081	0.005390297	0.007187063	0.032741066
2P02	0.43566676	0.339143473	0.190984912	0.00267079	0.004919876	0.026614188
2P03	0.400176581	0.3480852	0.209248427	0.000496634	0.005518155	0.036475003
2P04	0.562027636	0.189861822	0.20276357	0.003893427	0.007099779	0.034353767
2S01	0.448077222	0.386190254	0.115678032	0.004826405	0.008095905	0.037132181
2S02	0.421203639	0.318824353	0.188383485	0.005528341	0.012876137	0.053184045
2S03	0.497464687	0.229445853	0.180369431	0.019195943	0.016026802	0.057497284
2S04	0.597111015	0.199740316	0.144936161	0.002055832	0.011685782	0.044470894
2W01	0.471635735	0.26162747	0.210158539	0.002254114	0.013750094	0.040574048
2W02	0.465207979	0.250270605	0.243466832	0.002087521	0.008272769	0.030694294
2W03	0.50759038	0.281965674	0.17377015	0.001252021	0.007616464	0.027805311
2W04	0.44354313	0.227276019	0.277612805	0.002245238	0.009415514	0.039907293
3D01	0.284749098	0.333551984	0.319908167	0.00347655	0.020924893	0.037389308
3D02	0.465244715	0.349711166	0.154891132	0.001523519	0.007934997	0.020694471
3D03	0.424478787	0.252004665	0.281455023	0.005248579	0.007362589	0.029450357
3D04	0.485125023	0.254730182	0.198515544	0.002920241	0.024091988	0.034617023
3G01	0.474989348	0.259821048	0.207328504	0.011844908	0.00988496	0.036131231
3G02	0.424645022	0.282902931	0.231171635	0.00689197	0.014614299	0.039774143
3G03	0.442119627	0.273481919	0.236013191	0.002331135	0.012735956	0.033318171
3G04	0.609753024	0.20797631	0.152154738	0.008316532	0.006174395	0.015625
3P01	0.389150291	0.322077682	0.230279546	0.018544146	0.011716948	0.028231387
3P02	0.419950825	0.347523709	0.157358623	0.020864067	0.01945908	0.034843695
3P03	0.445532772	0.366166239	0.156261443	0.003020871	0.007964116	0.021054559
3P04	0.478251907	0.309420738	0.168625026	0.00962001	0.007283722	0.026798598
3S01	0.361371416	0.409965771	0.124852702	0.02418495	0.028786263	0.050838898
3S02	0.495782568	0.354860697	0.096276732	0.016102922	0.011246485	0.025730596
3S03	0.459142709	0.201696452	0.274216524	0.008676509	0.013921264	0.042346542
3S04	0.431383761	0.349371018	0.129553994	0.017480804	0.021320046	0.050890377
3W01	0.35594925	0.323766053	0.256382485	0.0152406	0.011681881	0.036979731
3W02	0.360792859	0.295705349	0.268784705	0.012792577	0.026217755	0.035706755
3W03	0.507635093	0.322815124	0.13393813	0.003324506	0.009917169	0.022369978
3W04	0.437099471	0.302382279	0.201448872	0.022290332	0.010727222	0.026051825
4D01	0.421537396	0.49799169	0.056925208	0.00034626	0.003601108	0.019598338
4D02	0.553978034	0.396946156	0.026091615	0.000321457	0.003643182	0.019019555
4D03	0.333333333	0.529669261	0.117298962	0.001053826	0.004458495	0.014186122
4D04	0.351304058	0.539955004	0.088825931	0.000416632	0.004249646	0.015248729
4G01	0.496659243	0.389648955	0.091314031	0.00275745	0.003393785	0.016226535
4G02	0.556514617	0.301285282	0.117313508	0.001827117	0.002898185	0.02016129
4G03	0.5711152	0.244056043	0.152986131	0.007571469	0.008349844	0.015921313
4G04	0.807585201	0.08407373	0.072205278	0.023537992	0.004840207	0.007757592
4P01	0.562046983	0.268710156	0.131953541	0.006636975	0.012138678	0.018513667
4P02	0.530583568	0.319226318	0.137874029	0.002066457	0.002810382	0.007439246
4P03	0.372841649	0.436789588	0.132581345	0.008416486	0.0164859	0.032885033
4P04	0.378794545	0.458337	0.115706115	0.003695557	0.018565772	0.024901012
4S01	0.5227509	0.339864054	0.117233107	0.005677729	0.003038784	0.011435426
4S02	0.614244491	0.140018363	0.232948583	0.003147954	0.002360965	0.007279643
4S03	0.501487169	0.354845404	0.119665214	0.004634433	0.003596873	0.015770907
4S04	0.585382411	0.28956102	0.105294916	0.003846734	0.003545029	0.01236989
4W01	0.474041508	0.351651904	0.148962307	0.002974074	0.004978341	0.017391867
4W02	0.626121332	0.239014748	0.122016117	0	0.0030409	0.009806903
4W03	0.312776879	0.545812531	0.120877575	0.007453766	0.001898601	0.011180648
4W04	0.579506641	0.309108159	0.087855787	0.000189753	0.005313093	0.018026565
5D01	0.500227929	0.326546118	0.159170339	0.001063668	0.002279289	0.010712658
5D02	0.360061737	0.33389681	0.289578127	0.001322946	0.00220491	0.01293547
5D03	0.5329323	0.320044861	0.128466558	0.000713703	0.004282219	0.013560359
5D04	0.440017534	0.395743023	0.143198091	0.006039647	0.002094394	0.012907311
5G01	0.58220404	0.248401943	0.147916134	0.012145231	0.001214523	0.008118128
5G02	0.505389367	0.302349522	0.160772678	0.013685358	0.004420492	0.013382584
5G03	0.637701472	0.22058709	0.125515845	0.004905396	0.003114537	0.00817566
5G04	0.486814469	0.214002334	0.285725399	0.003500583	0.002567095	0.007390121
5P01	0.488778055	0.370560086	0.111275864	0.010312058	0.002224169	0.016849767
5P02	0.52186342	0.385812599	0.059237692	0.016463737	0.002752779	0.013869772
5P03	0.461685366	0.368524708	0.131952733	0.005848651	0.008832657	0.023155884
5P04	0.515620261	0.375872005	0.080831059	0.004094631	0.002957234	0.02062481
5S01	0.466279589	0.35542653	0.154533274	0.00607414	0.003662349	0.014024118
5S02	0.547600779	0.241633713	0.172047453	0.009502449	0.006138228	0.023077377
5S03	0.504076357	0.383310135	0.075164049	0.015046066	0.003711805	0.018691589
5S04	0.508679686	0.330412285	0.127774996	0.014521783	0.00392255	0.0146887
5W01	0.471348753	0.344659563	0.169113825	0.003508316	0.001559252	0.009810291
5W02	0.435266424	0.351166274	0.187673871	0.005831372	0.007382838	0.012679221
5W03	0.486400138	0.336499439	0.151627666	0.012520508	0.003194888	0.009757361
5W04	0.47927018	0.23702859	0.26700334	0.000977437	0.002443594	0.013276859
ZD01	0.290806483	0.613351341	0.044327609	0.001447038	0.014277445	0.035790083
ZD02	0.271010962	0.616456895	0.048518067	0.000812018	0.019623765	0.043578292
ZD03	0.280649544	0.623083393	0.043022579	0.001682086	0.013974251	0.037588148
ZD04	0.293410925	0.607659095	0.044114886	0.001971091	0.015064764	0.037779238
ZG01	0.332725853	0.520958084	0.065087217	0.00468628	0.017964072	0.058578495
ZG02	0.307445551	0.55900726	0.055377343	0.004896167	0.015532669	0.05774101
ZG03	0.296725441	0.578715365	0.054785894	0.00465995	0.012972292	0.052141058
ZG04	0.316473001	0.534005468	0.072966507	0.005297334	0.017429938	0.053827751
ZP01	0.427441731	0.30167869	0.026220866	0.191107103	0.010960044	0.042591565
ZP02	0.407891522	0.309186416	0.037747374	0.19325678	0.01111654	0.040801368
ZP03	0.380431177	0.310779436	0.048645661	0.198894417	0.013598673	0.047650636
ZP04	0.379987847	0.338363379	0.03899129	0.185031396	0.014786307	0.042839781
ZS01	0.376991311	0.295347574	0.048968139	0.212708182	0.014663287	0.051321506
ZS02	0.422162334	0.250634115	0.03527267	0.231610653	0.015535828	0.044784401
ZS03	0.392209066	0.277376865	0.047432215	0.215021369	0.015483781	0.052476704
ZS04	0.378376628	0.285742048	0.043402215	0.218760122	0.015028827	0.05869016
ZW01	0.29941643	0.539129134	0.05461619	0.02379171	0.021846476	0.06120006
ZW02	0.333097094	0.472123789	0.076895819	0.041578077	0.015828018	0.060477203
ZW03	0.318225343	0.518831791	0.073731248	0.020108522	0.016278327	0.052824769
ZW04	0.335473397	0.491181463	0.069367574	0.028853959	0.018301232	0.056822375
